modelo,config,query_id,P@10,R@10,AP,NDCG@10
vetorial,nada,27,0.1,0.3333333333333333,0.10617897727272728,0.17985934992609856
vetorial,nada,28,0.0,0.0,0.0018835665030222195,0.0
vetorial,nada,29,0.4,0.4444444444444444,0.5000599490396519,0.5396241956967885
vetorial,nada,30,0.1,0.14285714285714285,0.059713613661710734,0.06953469985987615
vetorial,nada,31,0.0,0.0,0.0009082652134423251,0.0
vetorial,nada,32,0.1,0.16666666666666666,0.03830229019423055,0.04384183565490108
vetorial,nada,33,0.3,1.0,0.5333333333333333,0.6672406095331843
vetorial,nada,34,0.0,0.0,0.12556952503761012,0.0
vetorial,nada,35,0.0,0.0,0.028292322759338323,0.0
vetorial,nada,36,0.0,0.0,0.026855287569573286,0.0
vetorial,nada,37,0.1,0.1111111111111111,0.14020075798203957,0.0622223675987997
vetorial,nada,38,0.0,0.0,0.0444659550888767,0.0
vetorial,nada,39,0.3,0.23076923076923078,0.19470095619757516,0.25291986597582855
vetorial,nada,40,0.0,0.0,0.023004226789382996,0.0
vetorial,nada,41,0.3,1.0,0.7916666666666666,0.8916873528495691
vetorial,nada,42,0.2,0.4,0.1269280538302277,0.2665546524086155
vetorial,nada,43,0.5,0.8333333333333334,0.5189761354888376,0.7668341167369499
vetorial,nada,44,0.0,0.0,0.0023335189159486096,0.0
vetorial,nada,45,0.1,0.08333333333333333,0.1275889966192523,0.17659831200807974
vetorial,nada,46,0.3,0.2,0.2567347306248723,0.3945297490942449
vetorial,nada,47,0.4,0.2857142857142857,0.2423379426087651,0.3141915173909195
vetorial,nada,48,0.2,0.18181818181818182,0.18482513098818887,0.30654896058534786
vetorial,nada,49,0.1,0.5,0.2803030303030303,0.4796249331362629
vetorial,nada,50,0.1,0.16666666666666666,0.06782997452014526,0.2284312957394642
vetorial,nada,51,0.4,0.4,0.3384530645492304,0.32715604446574714
vetorial,nada,52,0.3,0.75,0.513095238095238,0.48237776266311505
vetorial,nada,53,0.3,0.3,0.27400208481343546,0.28046151317628504
vetorial,nada,54,0.1,0.1111111111111111,0.08600790445427055,0.10642623028782688
vetorial,nada,55,0.3,0.3,0.1741407887944039,0.23189683406990091
vetorial,nada,56,0.0,0.0,0.09154273204014499,0.0
vetorial,nada,57,0.0,0.0,0.05648470070807183,0.0
vetorial,nada,58,0.2,0.2222222222222222,0.11455859720869507,0.23377706220169647
vetorial,nada,59,0.1,0.25,0.057424610699737116,0.10887530903810089
vetorial,nada,60,0.2,0.4,0.45900871280618116,0.4327622083024971
vetorial,nada,61,0.2,0.4,0.17673385985524276,0.30981877415958703
vetorial,nada,62,0.0,0.0,0.017878819641722044,0.0
vetorial,nada,63,0.0,0.0,0.004735469451475306,0.0
vetorial,nada,64,0.1,0.5,0.5434782608695652,0.6787956981029196
vetorial,nada,65,0.5,0.3333333333333333,0.3022128999996299,0.527392470300786
vetorial,nada,66,0.2,0.4,0.16558797524314767,0.3258020218724434
vetorial,nada,67,0.6,0.42857142857142855,0.5982464321325587,0.65716817825119
vetorial,nada,68,0.2,0.4,0.09028008341980401,0.23228635400621572
vetorial,nada,69,0.0,0.0,0.020909473720429207,0.0
vetorial,nada,70,0.0,0.0,0.05292874839114864,0.0
vetorial,nada,71,0.0,0.0,0.036238810985902564,0.0
vetorial,nada,72,0.0,0.0,0.028111656619774054,0.0
vetorial,nada,73,0.5,0.25,0.2974102210838231,0.5549282797372836
vetorial,nada,74,0.0,0.0,0.056621684975383064,0.0
vetorial,nada,75,0.1,0.2,0.136521265688838,0.18295990522760897
vetorial,nada,76,0.1,0.14285714285714285,0.12684017929047822,0.14167166961578478
vetorial,nada,77,0.3,0.5,0.4453282828282829,0.29386869312826713
vetorial,nada,78,0.3,1.0,0.5888888888888889,0.6504198609257138
vetorial,nada,79,0.1,0.2,0.06713811199628197,0.18809346402717644
vetorial,nada,80,0.0,0.0,0.020886165280576487,0.0
vetorial,nada,81,0.1,0.5,0.10555555555555556,0.24968189257887646
vetorial,nada,82,0.3,0.6,0.577075511055486,0.6887518107307512
vetorial,nada,83,0.1,0.25,0.05858993157380254,0.13905617951077562
vetorial,nada,84,0.2,0.18181818181818182,0.10070706383567679,0.12978676803338104
vetorial,nada,85,0.1,0.25,0.09487326946249063,0.1289633271351919
vetorial,nada,86,0.2,1.0,0.5833333333333333,0.6934264036172708
vetorial,nada,87,0.0,0.0,0.010135618305541706,0.0
